character,race,class,level,home_realm,notable_achievement,primary_magic_type
Thorian,Dwarf,Warrior,12,Stonefall Citadel,Slew the Shadow Drake,None
Lyra,Elf,Ranger,9,Sunfire Forest,Rescued the Lost Prince,Nature
Kael,Human,Mage12312312,15,Silverpine,Broke The Lich's Curse,Pyromancy
Seraphina,Angelic,Cleric,20,The Celestial Spire,Healed the Blighted King,Divine
Grolak,Orc,Barbarian,7,Bloodrock Mountains,Claimed the Dragon's Hoard,Blood Magic
Elara,Gnome,Alchemist,11,Whimsical Glade,Transformed Lead to Gold,Transmutation
Fenris,Werewolf,Rogue,14,The Shadowfen Moors,Won The Thieves Guild,Shadow
Orion,Dragonborn,Knight,18,Mount Pyre,Defended The Royal Keep,Elemental
Nyx,Goblin,Thief,6,Murkwood Swamps,Found the Whispering Dagger,None
Anya,Halfling,Bard,10,Greenmeadow Valley,Composed the Epic Ballad,Chronomancy
Vex,Kobold,Sorcerer,10,The Crystal Caves,Awakened the Ancient One,Earth
Borin,Minotaur,Berserker,17,The Obsidian Keep,Smashed the Golem Legion,None
Isolde,High Elf,Druid,13,The Forgotten Woods,Brought Life to the Dead,Fey
Ronan,Human,Paladin,16,Mount Pyre,Purified the Corrupt Heart,Holy
Lysandra,Half-Elf,Warlock,19,The Misted Fells,Summoned a Demon Lord,Chaos
Zaltar,Orc,Necromancer,10,Bloodrock Mountains,Raised an Army of Bones,Necromancy
Elias,Gnome,Bard,5,Whimsical Glade,Charmed a Fearsome Dragon,Illusion
Corbin,Dwarf,Warrior,14,Stonefall Citadel,Defeated the Goblin King,None
Moira,Elf,Rogue,12,Sunfire Forest,Stole the Crown Jewels,Shadow
Cain,Human,Knight,18,Silverpine,Slain The Arch-Warlock,None
